island,species,year,source,lon,lat
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.1906983,21.51266604
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.195592,21.512851
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.2043462,21.51301737
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.2033269,21.51306728
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.2261639,21.54491111
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.2267579,21.54546319
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.2284611,21.54575556
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.2240806,21.54629167
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.2557816,21.57572228
Oahu,Doryopteris_decipiens,2009,GBIF,-157.725,21.308333
Maui,Doryopteris_decipiens,2019,GBIF,-156.172,20.627
Oahu,Doryopteris_decipiens,1962,Pteridoportal,-158.1,21.5
Oahu,Doryopteris_decipiens,1892,Pteridoportal,-157.858333,21.306944
Kauai,Doryopteris_decipiens,1916,Pteridoportal,-159.353109,22.0623
Oahu,Doryopteris_decipiens,1929,Pteridoportal,-158.140041,21.515729
Oahu,Doryopteris_decipiens,1946,Pteridoportal,-158.229831,21.566947
Maui,Doryopteris_decipiens,2019,Pteridoportal,-156.172,20.627
Lanai,Doryopteris_decipiens,1964,Pteridoportal,-156.99,20.78
Maui,Doryopteris_decipiens,1961,Pteridoportal,-156.289094,20.851484
Kauai,Doryopteris_decipiens,1955,Pteridoportal,-159.659892,22.05185
Kauai,Doryopteris_decipiens,1960,Pteridoportal,-159.658282,22.050193
Oahu,Doryopteris_decipiens,1895,Pteridoportal,-157.840175,21.317691
Oahu,Doryopteris_decipiens,NA,Pteridoportal,-157.961207,21.453752
Kauai,Doryopteris_decipiens,2018,Pteridoportal,-159.74,22.1002
Kauai,Doryopteris_decipiens,2018,Pteridoportal,-159.696,22.1243
Oahu,Doryopteris_decipiens,2021,iNaturalist,-157.712425,21.309031
Oahu,Doryopteris_decipiens,2021,iNaturalist,-157.6844139,21.29292778
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.207413,21.505692
Oahu,Doryopteris_decipiens,2019,iNaturalist,-158.2097778,21.57380295
Oahu,Doryopteris_decipiens,2018,iNaturalist,-157.6772156,21.289341
Kauai,Doryopteris_decora,2012,GBIF,-159.622317,22.091545
Kauai,Doryopteris_decora,NA,Pteriportal,-159.580002,21.92
Kauai,Doryopteris_decora,2011,Pteriportal,-159.65,22.04
Kauai,Doryopteris_decora,1990,Pteriportal,-159.6,22.07
Kauai,Doryopteris_decora,1895,Pteriportal,-159.607896,22.060336
Hawaii,Doryopteris_decora,NA,Pteriportal,-155.987057,19.643479
Hawaii,Doryopteris_decora,1961,Pteriportal,-155.5,19.2
Maui,Doryopteris_decora,1974,Pteriportal,-156.633,20.9
Hawaii,Doryopteris_decora,1971,Pteriportal,-155.08722,19.318238
Kauai,Doryopteris_decora,2014,GBIF,-159.66,22.06
Hawaii,Doryopteris_decora,1966,GBIF,-155.2,19.3
Oahu,Doryopteris_decora,1895,GBIF,-157.9667,21.4333
Lanai,Doryopteris_decora,NA,GBIF,-156.9,20.883333
Hawaii,Doryopteris_decora,NA,GBIF,-155.583333,19.066667
Lanai,Doryopteris_decora,NA,GBIF,-156.966667,20.8
Maui,Cheilanthes_viridis,1999,GBIF,-156.033,20.7
Maui,Cheilanthes_viridis,1962,GBIF,-156.6,21
Oahu,Cheilanthes_viridis,2018,iNaturalist,-157.7240183,21.30539833
Oahu,Cheilanthes_viridis,2018,iNaturalist,-157.7535576,21.36317408
Oahu,Cheilanthes_viridis,2019,iNaturalist,-157.7111142,21.30259496
Oahu,Cheilanthes_viridis,2019,iNaturalist,-157.7109094,21.30273636
Oahu,Cheilanthes_viridis,2020,iNaturalist,-157.8263069,21.31634445
Oahu,Cheilanthes_viridis,2020,iNaturalist,-157.7945134,21.3122376
Oahu,Cheilanthes_viridis,2020,iNaturalist,-157.8468865,21.32609834
Oahu,Cheilanthes_viridis,2020,iNaturalist,-157.7232334,21.30677031
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.7786717,21.30528667
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.7145217,21.30539167
Oahu,Cheilanthes_viridis,2021,iNaturalist,-157.7542856,21.31324862
